year;state;medicaid_federal;medicaid_total;all_spending_federal;all_spending_total;medicaid_state;all_spending_state
2010;Connecticut;0;5000;2482.4;24359.7;5000;21877.3
2010;Delaware;777;1258;1607;8720;481;7113
2010;Florida;12189;17919;28958;62050;5730;33092
2010;Georgia;5832;7884;14641;40747.2;2052;26106.2
2010;Hawaii;957;1456;2391;10948;499;8557
2010;Idaho;1069;1468;2573;6393;399;3820
2010;Illinois;8396.9965205;14294.50734635;12083.38308162;49315.02798593;5897.51082585;37231.64490431
2010;Indiana;4554;6172;10333;26656;1618;16323
2010;Iowa;2165;3289;6174;17637;1124;11463
2010;Kansas;1860;2643;4532;14044;783;9512
2010;Kentucky;4499.2;5692.7;10476.6;25940.6;1193.5;15464
2010;Louisiana;5634;6835;11859;31684;1201;19825
2010;Maine;1801;2363;3151;8351;562;5200
2010;Maryland;4185.442247;6739.442247;9825;33159.1;2554;23334.1
2010;Massachusetts;5721;9288;12480.699;51278.099;3567;38797.4
2010;Michigan;8434.6;11569.1;19541.7;47758;3134.5;28216.3
2010;Minnesota;4748;7560;9370;29950;2812;20580
2010;Mississippi;3199.4;4186.8;12109.1;22758.3;987.4;10649.2
2010;Missouri;4019.4;7362.7;8743.1;23391;3343.3;14647.9
2010;Montana;728;930;2285;6049;202;3764
2010;Nebraska;1095;1649;2973;9606;554;6633
2010;Nevada;944;1475;2792;8284;531;5492
2010;New Hampshire;797;1362;2074;5468;565;3394
2010;New Jersey;6315;10569;13058;48520;4254;35462
2010;New Mexico;2705;3362;5502;15373;657;9871
2010;New York;26057;37025;40834;128937;10968;88103
2010;North Carolina;8113;11796;17163;48747;3683;31584
2010;North Dakota;467;662;1857;4866.3;195;3009.3
2010;Ohio;3024;12293;14237;57630;9269;43393
2010;Oklahoma;3141;4308;9356;20874;1167;11518
2010;Oregon;3037;4249;8378;32547;1212;24169
2010;Pennsylvania;12678;20151;27669;68091;7473;40422
2010;Puerto Rico;;0;0;0;;0
2010;Rhode Island;1234;1956;2813;7813;722;5000
2010;South Carolina;3521;4596;7691;19702;1075;12011
2010;South Dakota;604;829;1726;3834;225;2108
2010;Tennessee;6227;8181;12951;28449;1954;15498
2010;Texas;15269;21689;36672.832;92055.832;6420;55383
2010;Utah;1370;1784;3607;12598;414;8991
2010;Vermont;834;1210;1865;4667;376;2802
2010;Virginia;3963;6553;9327.5;40774.4;2590;31446.9
2010;Washington;3870;7732;9238;33587;3862;24349
2010;West Virginia;2100;2563;4475;20378;463;15903
2010;Wisconsin;4742.15;6800.17;11531.43;40085.85;2058.02;28554.42
2010;Wyoming;347;559;1430;7657;212;6227
2011;Alabama;3857;5244;10252;24139;1387;13887
2011;Alaska;889;1361;3173;13992;472;10819
2011;Arizona;7195;9539;14971;30733;2344;15762
2011;Arkansas;3283;4180;6819;20347;897;13528
2011;California;30746;51503;84764;215745;20757;130981
2011;Colorado;2804.488;5510.703;8892.713;30917.272;2706.215;22024.559
2011;Connecticut;0;5595;2701;26174.5;5595;23473.5
