year;state;medicaid_federal;medicaid_total;all_spending_federal;all_spending_total;medicaid_state;all_spending_state
2017;Illinois;11568.00426774;20239.847;16386.70426774;67216.147;8671.84273226;50829.44273226
2017;Indiana;8701;11560;12580;32122;2859;19542
2017;Iowa;2813;5019;6664;23145;2206;16481
2017;Kansas;1801;3200;3834.3;15964.4;1399;12130.1
2017;Kentucky;7695;9894;12353;33750;2199;21397
2017;Louisiana;7283;10284;12255.185562;32043.965156;3001;19788.779594
2017;Maine;1638;2656;2603;8251;1018;5648
2017;Maryland;6834;11200;12876;41381;4366;28505
2017;Massachusetts;9081;15516;11490;61964;6435;50474
2017;Michigan;12393;17214;22874;54543;4821;31669
2017;Minnesota;6391;11133;10868;39391.775;4742;28523.775
2017;Mississippi;3974.6;5260.7;9195;22377;1286.1;13182
2017;Missouri;5177;9701;8186.12;25549.12;4524;17363
2017;Montana;1340;1758;2810;6957;418;4147
2017;Nebraska;1052.4;2071.2;3029.6;11866.1;1018.8;8836.5
2017;Nevada;2805;3671;4475.8;13658.07;866;9182.27
2017;New Hampshire;1300;2125;2221;5993;825;3772
2017;New Jersey;9577;14642;16143;60444;5065;44301
2017;New Mexico;4373;5570;7635;18430;1197;10795
2017;New York;33672;51178;52985;157014;17506;104029
2017;North Carolina;9022;14171;13274;46670.864;5149;33396.864
2017;North Dakota;842;1371;1886;7226;529;5340
2017;Ohio;5940;25661.4;12528;68273.3;19721.4;55745.3
2017;Oklahoma;3143;5327;7144;23278;2184;16134
2017;Oregon;6671;9428;10189.386242;40003.73191661;2757;29814.34567461
2017;Pennsylvania;18663;31343;29406;80793;12680;51387
2017;Puerto Rico;;0;0;0;;0
2017;Rhode Island;1613;2728;3185;9305;1115;6120
2017;South Carolina;4615;6556;8184;24573;1941;16389
2017;South Dakota;527;894;1419;4229;367;2810
2017;Tennessee;6881;10996;13420;33745;4115;20325
2017;Texas;22558;40087;46870;126392.32;17529;79522.32
2017;Utah;1813;2787;4312;14865;974;10553
2017;Vermont;919;1598;1914;5557;679;3643
2017;Virginia;4609.60977933;9380.63400298;10308.45988114;50302.24768333;4771.02422365;39993.78780219
2017;Washington;5569;8263;12034;44328;2694;32294
2017;West Virginia;2618;3548;4406;16006;930;11600
2017;Wisconsin;5164.77;9510.7;10992.8;46991.6;4345.93;35998.8
2017;Wyoming;303;601;1008;5042;298;4034
